,is_genuine,diagonal,height_left,height_right,margin_low,margin_up,length
69,1.0,171.98,104.16,103.76,4.08,2.94,113.08
70,1.0,171.81,103.84,103.66,4.35,2.93,112.97
71,1.0,171.84,103.59,103.98,4.09,3.05,113.09
72,1.0,171.94,103.89,103.45,4.32490770269272,3.25,112.79
73,1.0,171.35,103.58,103.59,4.08,2.85,114.09
74,1.0,172.49,103.69,103.79,3.81,2.77,113.09
75,1.0,172.26,103.85,103.7,4.16,3.2,112.35
76,1.0,171.65,103.3,103.55,4.14,3.37,112.87
77,1.0,171.84,104.09,103.03,4.11,2.77,113.18
78,1.0,171.71,103.43,103.61,4.11,2.97,112.95
79,1.0,171.58,103.71,103.57,4.49,3.14,113.65
80,1.0,171.89,103.42,103.35,4.92,3.02,113.2
81,1.0,171.85,103.87,103.27,4.09,2.95,113.09
82,1.0,172.08,103.93,103.85,4.3,3.26,113.65
83,1.0,172.52,104.32,103.86,3.7,3.14,113.36
84,1.0,171.85,103.91,103.91,4.5,3.21,113.09
85,1.0,171.98,104.32,103.71,4.25,3.06,113.46
86,1.0,172.01,104.58,103.89,3.96,2.87,113.28
87,1.0,171.7,103.75,103.4,4.47,3.28,113.57
88,1.0,171.93,103.65,103.56,4.12,2.77,112.95
89,1.0,171.94,103.49,103.82,4.24,3.19,113.05
90,1.0,171.81,103.76,103.61,4.31,3.08,112.74
91,1.0,172.08,104.01,104.5,4.3,2.97,113.05
92,1.0,171.81,104.14,103.35,4.03,3.03,112.83
93,1.0,172.05,103.75,103.98,4.1,3.12,113.27
94,1.0,172.34,104.26,103.76,4.01,3.17,113.28
95,1.0,172.0,103.83,103.82,4.64,3.32,113.0
96,1.0,171.57,104.61,103.91,4.49,3.16,113.42
97,1.0,171.86,103.6,103.99,3.65,3.15,113.56
98,1.0,171.54,103.75,103.62,4.59,2.85,113.44
99,1.0,171.93,104.07,104.18,4.3629387680202925,3.14,113.08
100,1.0,171.53,104.02,103.87,4.1,3.03,113.32
101,1.0,171.55,103.35,103.69,4.31,3.19,113.42
102,1.0,172.05,103.69,103.89,4.42,3.15,112.67
103,1.0,172.0,104.14,103.98,3.87,3.12,113.5
104,1.0,171.96,103.95,103.81,4.23,3.09,113.27
105,1.0,171.85,103.66,103.9,4.16,2.98,112.91
106,1.0,172.27,103.95,103.75,3.94,3.19,114.04
107,1.0,172.69,103.88,104.06,4.27,3.2,113.22
108,1.0,171.91,104.23,104.14,3.59,3.11,113.42
109,1.0,171.65,103.77,103.95,4.18,3.16,113.26
110,1.0,172.07,103.72,103.44,4.03,2.9,113.55
111,1.0,172.03,103.96,103.58,4.06,2.85,113.02
112,1.0,171.8,104.22,103.74,3.66,3.08,113.53
113,1.0,171.82,104.23,104.05,4.21,3.2,112.89
114,1.0,172.24,103.97,103.69,4.32,2.98,113.26
115,1.0,171.88,103.61,103.46,3.52,2.99,112.94
116,1.0,172.23,104.18,103.71,3.93,3.32,113.48
117,1.0,172.11,104.36,104.01,4.14,3.17,112.59
118,1.0,171.92,103.6,103.36,4.23,2.93,113.51
119,1.0,171.89,103.66,103.28,3.79,3.03,112.74
120,1.0,171.92,103.78,103.61,4.02,3.31,112.91
121,1.0,172.23,104.12,103.75,3.91,3.02,113.02
122,1.0,171.81,103.22,103.92,3.99,3.06,113.32
123,1.0,171.62,104.24,103.85,4.08,2.9,112.87
124,1.0,171.89,103.63,104.12,4.37,3.06,113.38
125,1.0,171.5,104.03,103.97,3.26,3.54,113.24
126,1.0,172.22,104.07,103.98,4.01,2.83,112.92
127,1.0,171.93,103.98,104.07,4.41,2.96,113.02
128,1.0,171.96,104.34,103.85,3.95,3.28,113.73
129,1.0,172.0,104.05,103.67,4.02,3.18,113.4
130,1.0,171.66,103.43,103.54,4.38,3.51,113.2
131,1.0,171.27,104.14,103.78,3.91,2.69,112.81
132,1.0,171.84,103.77,103.98,4.61,2.99,113.59
133,1.0,171.54,104.36,103.28,3.99,3.21,113.43
134,1.0,172.27,104.12,103.96,4.12,2.74,113.12
135,1.0,171.87,104.71,103.85,4.36,2.71,113.71
136,1.0,172.06,104.19,103.59,4.39,3.22,113.69
137,1.0,171.6,104.02,103.9,4.2,3.15,113.15
138,1.0,172.43,104.05,104.02,4.09,2.93,113.6
139,1.0,172.46,103.81,103.52,4.05,3.16,112.6
140,1.0,172.47,103.82,103.59,3.85,2.77,113.17
141,1.0,171.52,104.11,104.23,4.73,3.08,113.33
142,1.0,172.18,104.46,103.8,4.31,2.84,113.58
143,1.0,172.04,103.82,103.79,4.07,3.2,114.13
144,1.0,171.8,104.31,103.78,3.79,3.12,112.78
145,1.0,171.65,103.59,103.83,3.97,3.12,113.04
146,1.0,172.38,103.72,103.88,4.36,3.05,113.19
147,1.0,172.35,103.72,103.67,4.2,3.07,112.87
148,1.0,172.46,103.99,104.04,4.14,2.68,112.93
149,1.0,171.91,103.97,103.6,4.66,3.03,114.04
150,1.0,171.72,103.91,104.57,4.08,2.79,113.44
151,1.0,172.07,103.8,104.38,4.368501975347911,3.02,112.93
152,1.0,171.97,104.29,104.04,4.46,2.97,113.81
153,1.0,171.96,104.16,103.67,3.98,3.23,112.97
154,1.0,172.08,103.95,103.7,3.76,2.97,113.52
155,1.0,171.75,104.03,103.85,4.36,2.96,113.22
156,1.0,171.57,103.98,103.4,4.05,2.74,113.7
157,1.0,171.88,104.04,104.08,3.8,3.01,113.6
158,1.0,172.05,103.88,103.76,4.2,3.15,113.94
159,1.0,172.15,103.74,103.92,4.64,3.35,113.19
160,1.0,172.26,104.46,103.6,4.18,3.31,113.0
161,1.0,172.31,103.89,103.78,4.49,3.06,113.34
162,1.0,172.09,104.05,104.26,4.1,2.95,113.68
163,1.0,171.9,103.4,103.45,4.09,3.33,112.97
164,1.0,172.38,103.98,104.4,3.81,2.8,112.9
165,1.0,171.81,103.53,103.76,3.91,2.87,113.52
166,1.0,172.31,104.05,103.51,4.43,2.86,113.18
167,1.0,172.2,104.06,103.97,4.16,3.17,112.47
168,1.0,172.21,103.32,103.99,4.11,3.04,113.46
169,1.0,171.28,104.2,103.89,4.29,3.06,112.56
170,1.0,171.62,104.41,103.71,4.13,3.21,114.03
171,1.0,172.4,103.51,103.52,3.68,3.16,113.35
172,1.0,172.26,104.09,103.56,3.53,2.99,113.1
173,1.0,172.58,104.03,103.9,3.79,2.92,113.57
174,1.0,171.55,104.4,103.17,4.54,2.83,113.3
175,1.0,172.13,104.26,103.88,3.97,3.0,113.11
176,1.0,171.75,103.63,102.97,4.46,2.77,113.22
177,1.0,172.09,104.19,103.5,4.16,3.04,112.94
178,1.0,171.79,104.57,104.04,4.26,3.15,113.46
179,1.0,171.66,104.16,103.94,4.05,3.04,113.09
180,1.0,171.8,104.17,103.74,4.03,2.92,113.04
181,1.0,172.37,103.31,103.5,3.79,3.13,112.43
182,1.0,171.94,104.44,104.13,3.32,3.02,113.49
183,1.0,171.94,103.97,103.84,3.95,3.05,112.88
184,1.0,171.84,103.71,103.9,4.61,2.82,112.68
185,1.0,172.4,104.13,103.84,4.25,3.09,113.29
186,1.0,172.21,103.48,104.04,4.4,3.0,113.15
187,1.0,172.74,104.05,104.17,3.68,3.38,113.12
188,1.0,172.1,104.05,103.84,3.76,3.17,113.44
189,1.0,172.18,104.02,103.54,4.17,3.49,113.64
190,1.0,171.95,103.73,103.77,4.09,3.02,113.6
191,1.0,171.86,104.7,103.62,4.01,3.34,112.89
192,1.0,171.78,103.74,103.55,3.86,2.87,113.41
193,1.0,172.35,103.73,102.95,4.49,3.37,112.49
194,1.0,171.94,104.34,103.99,4.27,2.87,113.14
195,1.0,172.22,103.59,103.81,3.47,3.34,113.23
196,1.0,171.99,103.98,103.73,4.34,3.2,113.05
197,1.0,171.45,103.66,103.8,4.31168266039635,3.62,113.27
198,1.0,171.9,104.14,103.75,4.56,2.97,113.0
199,1.0,171.9,104.42,104.02,4.38,3.1,112.87
200,1.0,171.97,104.01,103.41,3.8,2.96,112.85
201,1.0,171.71,104.27,104.19,3.56,3.15,112.71
202,1.0,172.11,103.98,104.02,4.17,3.24,112.96
203,1.0,172.33,104.18,104.04,4.29,2.99,114.08
204,1.0,171.88,103.83,103.31,4.36,3.07,113.83
205,1.0,172.16,104.04,104.02,4.06,3.08,113.02
206,1.0,172.18,103.68,103.14,4.16,3.18,113.93
207,1.0,172.3,104.34,103.93,3.98,3.33,113.08
208,1.0,171.59,103.8,104.08,4.18,3.17,113.04
209,1.0,172.23,103.25,103.97,4.01,3.38,113.9
210,1.0,172.12,103.76,103.66,4.27,2.95,113.4
211,1.0,171.78,103.52,103.69,4.31,2.85,113.59
212,1.0,171.59,104.06,103.85,4.41,3.29,113.49
213,1.0,172.26,103.75,103.87,3.95,3.1,113.08
214,1.0,172.1,103.61,103.79,4.86,3.14,112.89
215,1.0,172.05,104.08,103.66,4.49,3.24,113.23
216,1.0,171.74,104.43,103.09,4.23,3.15,113.19
217,1.0,172.37,104.32,103.52,3.96,3.11,112.84
218,1.0,172.19,104.07,103.71,4.0,2.82,112.71
219,1.0,172.11,103.33,103.8,4.55,2.91,113.17
220,1.0,171.26,103.59,103.8,4.11,3.25,113.03
221,1.0,172.04,103.67,103.6,4.09,3.14,112.99
222,1.0,171.79,103.88,103.7,4.1,3.12,113.42
223,1.0,171.97,104.05,103.82,4.09,2.88,112.67
224,1.0,172.12,103.2,103.92,4.46,3.26,113.44
225,1.0,171.29,104.22,104.16,4.37,3.14,113.3
226,1.0,171.84,103.81,103.83,4.33,2.86,113.14
227,1.0,171.69,103.8,104.1,4.32,2.69,113.52
228,1.0,172.5,104.54,103.78,3.99,3.1,112.82
229,1.0,172.28,103.63,103.97,3.79,2.94,112.9
230,1.0,172.32,103.22,104.0,4.01,3.08,112.87
231,1.0,172.76,104.22,104.0,4.2,3.27,113.69
232,1.0,171.34,104.26,104.06,3.77,3.2,113.91
233,1.0,172.26,104.16,103.2,4.55,3.35,113.23
234,1.0,171.97,103.55,104.2,4.21,3.12,113.2
235,1.0,171.77,103.62,103.32,3.9,3.17,113.45
236,1.0,171.85,104.1,104.16,4.18,3.06,113.19
237,1.0,172.19,103.96,104.03,3.95,3.2,112.71
238,1.0,172.23,104.21,103.97,3.74,2.9,113.4
239,1.0,171.85,104.07,103.9,4.8,3.46,113.73
240,1.0,171.86,103.6,104.09,3.9,2.8,113.18
241,1.0,171.83,104.14,104.06,4.625610135115878,3.02,112.36
242,1.0,171.74,103.95,103.78,4.74,3.29,113.04
243,1.0,172.17,103.61,104.33,3.39,2.82,112.79
244,1.0,171.57,104.09,103.58,3.99,3.23,112.98
245,1.0,171.99,103.7,103.59,4.37,3.12,112.85
246,1.0,171.94,103.91,103.99,4.02,2.94,113.06
247,1.0,172.45,103.97,104.32,4.15,3.23,113.45
248,1.0,172.12,104.03,104.02,4.38,2.83,113.03
249,1.0,171.67,103.74,103.7,4.01,2.87,113.29
250,1.0,172.38,103.45,104.11,4.72,3.01,113.19
251,1.0,171.8,103.26,102.82,3.83638742346411,2.95,113.22
252,1.0,171.68,104.27,104.07,4.08,3.34,113.57
253,1.0,172.07,104.33,104.33,4.41,3.39,113.39
254,1.0,172.17,104.21,103.87,4.35,2.98,113.66
255,1.0,171.82,103.49,103.47,4.79,3.11,113.41
256,1.0,171.85,103.65,103.55,4.48,3.31,112.89
257,1.0,172.19,104.03,104.25,4.17,2.81,112.94
258,1.0,171.71,103.53,103.78,3.89,3.03,113.51
259,1.0,172.35,103.62,103.78,4.38,2.86,113.28
260,1.0,172.27,103.71,103.64,4.64,2.67,113.63
261,1.0,171.99,103.75,103.53,3.79,2.81,112.52
262,1.0,171.91,103.97,103.81,3.96,3.03,112.64
263,1.0,172.06,103.92,103.42,4.28,3.0,113.41
264,1.0,171.75,104.12,104.1,3.85,3.24,113.3
265,1.0,172.15,104.02,103.94,3.96,2.87,112.38
266,1.0,171.95,103.94,103.8,4.1,3.41,113.38
267,1.0,171.48,103.27,103.42,3.84,3.04,113.56
268,1.0,171.47,104.3,104.01,4.32,2.68,113.07
269,1.0,171.88,103.93,103.72,4.88,3.26,113.11
270,1.0,172.11,103.98,104.33,4.3,2.91,112.72
271,1.0,172.06,104.21,103.88,4.63,3.22,113.7
272,1.0,171.6,104.22,104.11,4.25,3.29,113.4
273,1.0,172.19,104.05,103.54,3.8,3.24,112.84
274,1.0,171.52,103.74,104.1,4.47,2.87,113.58
275,1.0,171.81,104.17,103.72,4.17,3.05,112.49
276,1.0,171.62,104.11,103.71,4.33,3.14,113.14
277,1.0,172.08,104.16,104.17,3.54,3.29,112.71
278,1.0,171.86,104.15,103.5,4.31,2.92,113.87
279,1.0,172.29,103.73,103.55,3.84,3.23,113.9
280,1.0,171.85,103.64,103.63,3.73,3.29,112.95
281,1.0,171.99,103.9,104.21,4.18,3.07,113.01
282,1.0,172.02,104.54,103.74,3.96,2.94,113.51
283,1.0,172.47,103.57,103.89,4.6,3.2,112.93
284,1.0,171.92,103.83,103.76,4.1700289455990145,3.23,113.29
285,1.0,172.27,103.78,103.86,4.25,2.86,112.73
286,1.0,172.04,103.99,104.12,4.2,3.02,113.16
287,1.0,171.92,104.12,104.15,3.83,2.88,112.65
288,1.0,172.21,104.22,103.57,3.57,3.17,112.43
289,1.0,172.08,104.4,103.94,4.22,2.97,113.08
290,1.0,171.85,103.93,103.81,4.36,3.12,112.82
291,1.0,171.77,103.79,104.11,3.92,3.18,113.33
292,1.0,172.09,103.14,103.81,4.88,3.01,113.69
293,1.0,172.5,103.81,103.83,4.19,3.01,113.18
294,1.0,171.52,103.97,103.81,4.08,3.07,112.74
295,1.0,172.34,104.54,103.56,4.04,3.42,112.93
296,1.0,171.87,103.99,104.03,4.42,2.89,112.72
297,1.0,172.12,103.9,104.32,3.83,3.03,113.56
298,1.0,172.43,103.83,104.13,3.72,2.81,113.27
299,1.0,171.68,103.77,103.82,4.24,2.86,113.6
300,1.0,171.54,104.27,104.01,4.63,3.05,113.09
301,1.0,171.46,103.83,103.95,4.21,3.15,113.59
302,1.0,171.65,103.22,104.11,3.51,3.04,113.4
303,1.0,172.02,103.45,103.79,3.91,3.0,113.12
304,1.0,172.3,103.88,103.85,4.22,3.09,113.1
305,1.0,171.83,104.65,103.66,3.83,2.95,113.28
306,1.0,172.1,103.93,103.43,3.96,3.13,113.38
307,1.0,172.24,104.22,103.67,4.3,3.33,113.13
308,1.0,171.87,103.99,104.02,4.23,3.02,113.0
309,1.0,172.25,104.14,103.76,3.84,2.81,112.72
310,1.0,172.47,103.87,104.16,4.63,3.18,112.98
311,1.0,172.58,103.99,103.63,4.43,3.07,112.79
312,1.0,172.07,104.09,103.7,4.11,3.0,113.19
313,1.0,172.32,103.99,104.01,4.22,2.95,113.08
314,1.0,172.1,104.16,104.18,4.03,3.08,112.65
315,1.0,171.99,103.6,103.43,4.57,2.96,113.09
316,1.0,171.91,103.99,103.81,4.0,2.88,113.02
317,1.0,171.51,104.34,103.49,4.29,3.03,113.42
318,1.0,172.22,103.51,103.99,3.67,3.06,112.86
319,1.0,172.05,104.11,104.14,4.73,2.73,113.3
320,1.0,172.07,104.35,104.43,4.1,3.02,112.76
321,1.0,171.74,103.74,103.78,4.43,3.14,113.02
322,1.0,171.75,104.13,103.91,4.24,2.97,113.33
323,1.0,171.91,103.83,103.68,4.05,2.86,113.41
324,1.0,172.1,104.42,103.6,4.18,2.89,113.32
325,1.0,171.96,104.17,103.35,4.35,3.31,113.67
326,1.0,171.42,103.47,103.82,4.35,3.05,112.7
327,1.0,171.85,103.86,104.08,4.23,3.36,113.01
328,1.0,172.05,103.79,104.17,4.08,3.12,112.77
329,1.0,172.0,103.85,104.04,3.75,3.45,113.73
330,1.0,171.99,104.12,104.18,4.41,2.75,113.18
331,1.0,172.4,104.17,104.09,4.46,3.02,113.16
332,1.0,171.95,103.44,103.8,4.08,3.19,112.43
333,1.0,171.53,104.56,103.9,3.99,3.08,113.15
334,1.0,171.85,103.7,103.96,4.105382776020008,3.0,113.36
335,1.0,172.33,103.81,103.67,4.58,2.87,113.2
336,1.0,171.8,103.96,103.87,3.97,2.65,112.68
337,1.0,171.59,103.8,103.95,4.09,2.89,113.27
338,1.0,171.69,104.3,103.94,4.27,2.96,113.43
339,1.0,172.26,103.88,104.15,4.3,2.98,113.24
340,1.0,172.52,103.9,104.03,3.97,2.98,113.3
341,1.0,171.9,104.21,104.21,4.77,3.38,113.2
342,1.0,171.78,103.94,103.84,3.55,2.97,113.13
343,1.0,171.7,103.77,103.88,4.1,2.96,112.91
344,1.0,172.53,103.97,103.28,4.61,3.41,113.25
345,1.0,171.54,103.93,103.49,4.08,3.34,113.13
346,1.0,172.32,103.38,103.74,4.43,2.77,112.98
347,1.0,172.46,103.78,103.54,3.89,3.2,113.05
348,1.0,171.87,103.77,104.23,4.1,3.08,112.44
349,1.0,172.08,104.17,103.48,4.62,2.87,113.52
350,1.0,171.93,104.4,103.4,3.87,3.15,113.48
351,1.0,172.06,103.82,103.73,4.18,2.6,112.64
352,1.0,171.81,103.64,104.15,4.17,2.81,113.29
353,1.0,172.21,103.8,103.23,3.7,2.98,112.95
354,1.0,171.96,104.18,104.14,3.35,2.7,113.56
355,1.0,172.3,103.82,104.09,4.18,3.22,113.23
356,1.0,171.93,103.58,104.02,4.14,2.86,113.47
357,1.0,172.33,103.64,104.15,4.39,2.93,112.43
358,1.0,172.04,103.95,104.09,4.48,2.61,112.94
359,1.0,171.36,103.59,103.68,4.44,3.32,113.23
360,1.0,171.61,103.73,104.01,4.29,2.93,112.76
361,1.0,172.19,104.09,103.82,3.82,3.04,113.13
362,1.0,171.62,103.4,104.05,3.53,2.96,112.72
363,1.0,172.4,104.32,103.6,4.13,2.92,113.4
364,1.0,172.29,103.83,103.25,3.62,2.99,113.13
365,1.0,171.57,103.92,104.03,4.59,3.14,113.45
366,1.0,171.72,104.15,103.75,4.1,2.99,113.24
367,1.0,171.73,104.17,104.02,3.64,2.64,112.72
368,1.0,171.65,103.58,104.21,3.91,3.3,113.42
369,1.0,172.46,103.64,103.53,4.41,3.4,113.75
370,1.0,172.1,103.99,104.02,4.19,3.21,113.12
371,1.0,171.91,104.05,103.97,3.88,3.12,113.62
372,1.0,171.43,103.49,103.99,4.07,2.94,113.07
373,1.0,171.65,104.29,103.81,4.26,3.05,113.58
374,1.0,172.07,104.49,103.52,4.24,3.0,113.06
375,1.0,171.54,104.64,103.06,3.54,3.09,112.82
376,1.0,171.74,104.53,103.38,4.39,3.0,112.85
377,1.0,171.94,104.34,103.71,3.67,3.17,112.68
378,1.0,172.06,104.24,103.66,4.24,3.1,113.02
379,1.0,172.15,103.63,103.93,4.33,3.04,113.36
380,1.0,171.95,104.08,103.91,4.16,2.91,113.26
381,1.0,171.75,103.95,103.36,4.57,3.25,113.08
382,1.0,172.28,104.62,103.8,4.08,3.08,113.26
383,1.0,171.71,104.22,103.72,4.35,3.29,113.51
384,1.0,171.65,103.5,103.24,3.82,2.56,112.98
385,1.0,171.49,104.02,103.9,4.37,3.11,112.93
386,1.0,172.16,103.56,103.64,4.24,3.01,113.38
387,1.0,172.37,104.19,104.58,4.25,2.82,112.88
388,1.0,172.42,104.07,103.73,4.23,3.11,113.27
389,1.0,172.21,104.0,103.86,4.05,2.82,113.74
390,1.0,171.66,103.65,103.44,3.26,2.99,112.89
391,1.0,171.55,103.68,104.27,4.08,2.84,112.95
392,1.0,171.79,103.87,103.95,4.54,3.01,112.45
393,1.0,171.96,104.19,104.14,4.3,3.04,113.48
394,1.0,171.67,104.57,103.43,3.57,3.25,112.76
395,1.0,171.82,104.33,103.83,3.92,2.73,112.99
396,1.0,172.47,103.66,103.92,3.59,3.08,113.45
397,1.0,172.15,104.18,103.53,3.92,3.3,113.42
398,1.0,171.87,104.29,103.53,3.91,2.89,112.91
399,1.0,171.52,104.08,104.06,4.41,3.36,113.32
400,1.0,171.63,104.3,103.75,3.62,3.22,113.5
401,1.0,172.45,104.72,104.17,4.18,2.83,113.75
402,1.0,172.3,104.23,104.03,4.12,3.06,113.23
403,1.0,171.95,104.03,103.68,4.11,2.75,113.62
404,1.0,172.19,103.68,103.93,4.36,2.92,113.3
405,1.0,172.4,104.26,103.83,4.31,3.01,112.82
406,1.0,171.82,103.72,104.18,4.22,2.8,113.39
407,1.0,172.5,103.39,103.99,4.45,3.06,113.48
408,1.0,172.18,103.56,104.39,3.75,3.06,113.46
409,1.0,172.06,103.96,103.72,4.18,3.15,113.17
410,1.0,172.56,103.72,103.51,4.1362243874431,3.12,112.95
411,1.0,172.27,104.06,103.71,3.74,3.21,113.48
412,1.0,172.44,103.96,103.86,4.02,3.09,112.81
413,1.0,172.3,103.66,103.5,4.1628007812448615,3.16,112.95
414,1.0,172.3,104.12,103.89,3.55,2.93,113.68
415,1.0,172.0,103.68,104.1,3.84,3.15,112.86
416,1.0,172.44,104.11,104.25,4.53,3.18,113.41
417,1.0,172.73,104.02,104.18,3.74,3.2,113.52
418,1.0,172.02,104.23,103.97,4.3,2.93,113.79
419,1.0,171.56,103.97,103.96,4.12,3.32,113.43
420,1.0,171.89,103.99,103.45,4.12,3.1,113.0
421,1.0,171.19,103.95,103.73,3.96,2.94,113.25
422,1.0,171.53,103.53,103.63,4.04,2.96,112.76
423,1.0,171.7,104.32,104.07,4.21,2.67,112.73
424,1.0,171.7,103.74,103.89,4.43,2.8,112.59
425,1.0,171.91,103.97,103.98,4.23,3.01,112.98
426,1.0,171.91,103.99,103.5,3.41,2.92,113.02
427,1.0,171.82,103.64,104.21,4.08,3.0,112.97
428,1.0,171.86,103.77,103.93,4.83,3.17,113.35
429,1.0,172.09,103.78,104.22,4.16,3.18,113.3
430,1.0,172.12,104.08,103.93,4.72,3.18,113.38
431,1.0,172.14,103.8,103.56,3.94,3.12,113.38
432,1.0,171.47,104.46,104.3,4.12,3.06,113.59
433,1.0,171.71,103.71,103.36,4.1,3.17,113.07
434,1.0,172.04,103.82,103.99,3.88,3.14,113.23
435,1.0,171.55,103.92,103.77,4.12,3.25,113.19
436,1.0,171.88,104.58,104.31,4.88,2.82,113.71
437,1.0,171.65,103.88,103.59,3.94,3.05,113.28
438,1.0,172.07,104.07,103.67,3.82,3.17,113.91
439,1.0,171.99,103.74,103.46,4.0,2.76,113.33
440,1.0,172.45,103.87,104.4,3.75,3.05,113.62
441,1.0,171.93,103.88,104.35,4.26,3.29,112.7
442,1.0,172.03,103.73,104.19,3.75,2.87,112.49
443,1.0,171.61,103.93,103.41,4.45,2.95,113.19
444,1.0,172.23,103.94,103.46,3.95,3.15,113.77
445,1.0,172.34,104.42,103.22,4.192488607570226,3.01,112.97
446,1.0,172.51,104.53,103.5,4.51,3.07,113.21
447,1.0,171.59,103.86,104.33,4.12,2.84,114.0
448,1.0,172.01,103.93,103.69,3.89,3.34,113.16
449,1.0,171.92,103.91,103.93,4.34,2.91,112.4
450,1.0,172.01,104.11,103.13,4.53,2.96,113.45
451,1.0,172.17,103.79,103.54,4.07,2.78,113.03
452,1.0,171.68,103.48,103.47,3.32,3.11,112.46
453,1.0,172.54,104.05,103.78,4.34,2.93,114.14
454,1.0,172.3,104.21,104.46,3.69,3.12,113.28
455,1.0,171.7,103.57,104.2,4.22,2.81,112.71
456,1.0,172.25,104.22,103.62,3.96,3.15,112.74
457,1.0,171.75,103.48,103.94,3.76,2.97,113.28
458,1.0,172.0,104.07,103.55,3.86,3.3,114.03
459,1.0,171.64,104.45,103.97,4.16,3.23,113.67
460,1.0,172.16,103.69,103.71,3.68,3.12,113.04
461,1.0,172.01,103.95,103.77,4.16,3.1,113.19
